fold,store_id,sku_id,model,mae,mape
20250106_20250113,S02,SKU001,seasonal_naive,8.5,4.525493629562315
20250106_20250113,S02,SKU001,sarimax,8.5,4.525493629562315
20250106_20250113,S02,SKU001,lgbm,17.75661970244505,9.413109336093555
20250106_20250113,S02,SKU002,naive,2.25,1.1398545272910172
20250106_20250113,S02,SKU002,seasonal_naive,14.0,7.0602795997735
20250106_20250113,S02,SKU002,sarimax,14.0,7.0602795997735
20250106_20250113,S02,SKU002,lgbm,16.34710444728225,8.229444892899256
20250106_20250113,S02,SKU003,naive,8.5,4.981117585879052
20250106_20250113,S02,SKU003,seasonal_naive,13.25,7.347770856474117
20250106_20250113,S02,SKU003,sarimax,13.25,7.347770856474117
20250106_20250113,S02,SKU003,lgbm,7.866951534218856,4.394448278224554
20250106_20250113,S02,SKU004,naive,8.25,4.263287981231118
20250106_20250113,S02,SKU004,seasonal_naive,22.0,11.3970976991833
20250106_20250113,S02,SKU004,sarimax,22.0,11.3970976991833
20250106_20250113,S02,SKU004,lgbm,16.751258527343403,8.691331695232407
20250106_20250113,S02,SKU005,naive,15.0,5.510256725784727
20250106_20250113,S02,SKU005,seasonal_naive,4.0,1.4693106267069802
20250106_20250113,S02,SKU005,sarimax,4.0,1.4693106267069802
20250106_20250113,S02,SKU005,lgbm,12.532044401034412,4.609527157705444
20250106_20250113,S03,SKU001,naive,3.5,2.1726025028870555
20250106_20250113,S03,SKU001,seasonal_naive,17.5,10.781529709375237
20250106_20250113,S03,SKU001,sarimax,17.5,10.781529709375237
20250106_20250113,S03,SKU001,lgbm,15.306835458162027,9.5032702971675
20250106_20250113,S03,SKU002,naive,4.25,3.1271841575770414
20250106_20250113,S03,SKU002,seasonal_naive,12.0,8.667796251191358
20250106_20250113,S03,SKU002,sarimax,12.0,8.667796251191358
20250106_20250113,S03,SKU002,lgbm,5.902353885885276,4.194379960063404
20250106_20250113,S03,SKU003,naive,14.75,4.887956260588326
20250106_20250113,S03,SKU003,seasonal_naive,22.0,7.2905436624056685
20250106_20250113,S03,SKU003,sarimax,22.0,7.2905436624056685
20250106_20250113,S03,SKU003,lgbm,19.31173505997998,6.39887608335266
20250106_20250113,S03,SKU004,naive,4.0,1.3163538258485037
20250106_20250113,S03,SKU004,seasonal_naive,19.5,6.430710332681241
20250106_20250113,S03,SKU004,sarimax,19.5,6.430710332681241
20250106_20250113,S03,SKU004,lgbm,18.851925820592726,6.21816717930709
20250106_20250113,S03,SKU005,naive,8.25,3.5354464851959166
20250106_20250113,S03,SKU005,seasonal_naive,11.5,4.918945931830335
20250106_20250113,S03,SKU005,sarimax,11.5,4.918945931830335
20250106_20250113,S03,SKU005,lgbm,13.150160710011882,5.63256244089001
20250203_20250210,S01,SKU001,naive,2.0,1.7509043866993208
